Monit_MAP_CODE1,LAKE_NAME,Year,avg_secchi_depth,avg_total_phosphorus,mean_FIN_SQ_FT,median_FIN_SQ_FT,mean_acres,median_acres,mean_EMV_TOTAL,median_EMV_TOTAL,mean_total_tax,median_total_tax,pct_garage_yes,Percentage_Air_Cooling,Percentage_AC_Cooling,Percentage_Central_Cooling,Percentage_Other_Cooling,Percentage_No_Cooling,N,Y
19002300-01,Farquar Lake,2011,0.6142857142857144,0.0995,2791.4272054287476,2819.0,0.845573719925974,0.34,302089.4509561999,281700.0,3885.499074645281,3695.0,0.0,0.0,0.0,0.0,0.0,100.0,3200,42
82013700-01,Fish Lake,2008,1.5027222222222225,0.05850000000000001,992.3481331987891,0.0,3.7032593340060527,0.0,371853.27951564075,322900.0,212298.5045408678,4650.0,1.8163471241170535,44.60141271442987,0.0,0.0,0.0,55.39858728557013,963,28
82008700-01,Regional Park Lake,2005,1.785142857142857,0.050071428571428586,0.0,0.0,2.5443583815028874,0.04,303607.1676300578,227900.0,2924.4624277456646,2268.0,0.0,0.0,0.0,0.0,0.0,100.0,797,68
02000500-01,George Watch Lake,2006,0.7285714285714286,0.16428571428571428,1652.1411192214111,1120.0,2.2046958637469527,0.67,235092.7818329278,209700.0,3435.787510137875,1947.0,0.0,0.0,0.0,0.0,0.0,100.0,1129,104
27004201-01,Twin Lake,2007,1.296875,0.09124999999999998,0.0,0.0,0.5082068965517226,0.23,234480.46955245783,193600.0,3833.9099046221572,2495.0,0.0,0.0,0.0,0.0,0.0,100.0,6629,186
82003400-01,East Boot Lake,2008,3.4834285714285715,0.03685714285714286,0.0,0.0,25.80740740740741,32.49,454581.48148148146,415700.0,332274.0740740741,325500.0,0.0,0.0,0.0,0.0,0.0,100.0,14,13
82010300-01,Olson Lake,2007,2.4636363636363634,0.02672727272727272,0.0,0.0,0.0,0.0,275318.7957231289,253800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0
82008700-01,Regional Park Lake,2010,1.9457142857142855,0.06542857142857143,1183.041958041958,1174.0,5.108554778554784,0.3,303881.1188811189,207400.0,0.0,0.0,81.81818181818183,0.0,0.0,0.0,0.0,100.0,780,78
82009002-01,Wilmes Lake,2013,0.8961538461538461,0.06907692307692306,1763.8193078324225,1888.0,0.4622076502732195,0.3,259470.81967213115,250100.0,0.0,0.0,94.09836065573771,0.0,0.0,0.0,0.0,100.0,0,0
19003100-01,Orchard Lake,2007,1.6714285714285715,0.038571428571428576,2394.6218068535827,2850.0,1.641327102803733,0.45,367537.19626168226,394900.0,3441.803738317757,3825.0,0.0,0.0,0.0,0.0,0.0,100.0,1363,134
82003400-01,East Boot Lake,2004,3.1025,0.03828571428571428,0.0,0.0,14.753333333333334,0.19,408325.9259259259,415700.0,718.6666666666666,28.0,0.0,0.0,0.0,0.0,0.0,100.0,16,11
82033400-01,Kismet Lake,2012,1.5950000000000002,0.039,1281.575,1478.0,12.708749999999998,9.87,331290.0,312250.0,0.0,0.0,61.25000000000001,0.0,0.0,0.0,0.0,100.0,0,0
82012200-01,Pine Tree Lake,2011,2.727272727272727,0.024272727272727276,2249.9884393063585,2491.0,5.557572254335249,2.775,479242.1965317919,435200.0,0.0,0.0,71.09826589595376,0.0,0.0,0.0,0.0,100.0,596,96
10012100-01,Eagle Lake,2008,0.5346153846153846,0.19323076923076923,1165.768,1324.0,37.863519999999994,8.11,376367.2,305200.0,1976.152,2021.0,33.6,42.4,0.0,0.0,0.0,57.599999999999994,0,0
82009002-01,Wilmes Lake,2004,1.4083333333333332,0.08491666666666668,0.0,0.0,0.2101800787844659,0.0,287752.48546238977,277100.0,3185.623522791221,2720.0,0.0,0.0,0.0,0.0,0.0,100.0,5072,259
10009500-01,Swede Lake,2013,0.5,0.298,1525.1533333333334,1635.0,35.51239999999996,11.465,387942.6666666667,300300.0,3445.2933333333335,3156.0,62.66666666666667,48.66666666666667,1.3333333333333335,0.0,0.0,50.0,144,6
70002600-01,Lower Prior Lake,2009,3.1866666666666665,0.025666666666666664,1211.7847926267282,1194.0,0.6077235023041494,0.3,317661.1520737327,249400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,58
82033400-01,Kismet Lake,2009,1.034142857142857,0.03128571428571429,1248.5398773006134,1444.0,12.828036809815952,9.87,409341.10429447854,394800.0,395618.40490797546,394800.0,0.0,0.0,0.0,0.0,0.0,100.0,154,7
82009200-01,Powers Lake,2007,1.894214285714286,0.03264285714285715,0.0,0.0,0.0,0.0,431576.7693588676,326000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0
19002300-01,Farquar Lake,2010,0.5885714285714284,0.10250000000000001,2761.996030534351,2808.0,0.8370534351145057,0.33,311852.0,291900.0,3973.6607633587787,3781.0,0.0,0.0,0.0,0.0,0.0,100.0,3200,42
19002500-01,Keller Lake,2004,1.5199999999999998,0.039733333333333336,2171.247892074199,1960.0,0.4000927487352428,0.27,248076.89713322092,210700.0,2338.8933389544686,1971.0,0.0,0.0,0.0,0.0,0.0,100.0,2306,56
10001100-01,St. Joe Lake,2005,3.1025,0.01725,1873.9328859060402,1789.0,0.6954630872483218,0.4,349537.4496644295,344100.0,3803.1677852348994,3791.0,87.24832214765101,81.87919463087249,0.0,0.0,0.0,18.120805369127517,0,0
27005300-01,Cobblecrest Lake,2008,0.2769230769230769,0.1602307692307692,0.0,0.0,0.955445531105679,0.22,295104.97147514264,219200.0,4081.176582450421,2429.0,0.0,0.0,0.0,0.0,0.0,100.0,6893,469
19044600-01,Lac Lavon Lake,2009,3.45,0.014571428571428572,2380.720835999147,2242.0,0.466835146086578,0.29,294079.3559394327,252800.0,3260.4116016208145,2887.0,0.0,0.0,0.0,0.0,0.0,100.0,4566,100
19002100-01,Alimagnet Lake,2004,0.445,0.1645,2188.433424657534,2021.0,0.5224191780821873,0.29,259112.76712328766,218400.0,2308.8224657534247,2054.5,0.0,0.0,0.0,0.0,0.0,100.0,3521,68
82012300-01,Bass Lake,2010,2.2096428571428564,0.05042857142857143,1664.5843373493976,1772.5,7.231746987951809,5.0,382278.313253012,399250.0,0.0,0.0,69.87951807228916,0.0,0.0,0.0,0.0,100.0,242,90
